File Path,EPSG Code,Projection,Spheroid,Semi-major Axis,Inverse Flattening,Datum,Unit,Unit Conversion Factor,GeoTransform Top Left X,GeoTransform Pixel Size X,GeoTransform Rotation X,GeoTransform Top Left Y,GeoTransform Rotation Y,GeoTransform Pixel Size Y
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-06/1km183330495502021LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,333000.0,0.5,0.0,4956000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-07/1km183650493402022LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,365000.0,0.5,0.0,4935000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-08/1km183900494302022LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,390000.0,0.5,0.0,4944000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-09/1km184250493702022LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,425000.0,0.5,0.0,4938000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-10/1km183130497702021LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,313000.0,0.5,0.0,4978000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-11/1km183480495802022LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,348000.0,0.5,0.0,4959000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-12/1km183710495802022LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,371000.0,0.5,0.0,4959000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-13/1km183950495802022LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,395000.0,0.5,0.0,4959000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-14/1km184220495802022LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,422000.0,0.5,0.0,4959000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-15/1km184500495802022LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,450000.0,0.5,0.0,4959000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/EasternOntario-DTM-16/1km183150498102021LEASTERNONTARIO_DTM.tif,7019,Transverse_Mercator,,,,,,,315000.0,0.5,0.0,4982000.0,0.0,-0.5
